Maskapai,Tanggal,Waktu Berangkat,Waktu Datang,Durasi,Transit,Harga Tiket
EVA Air,2025-11-01,2:35 PM,8:20 PM +1 (2025-11-02),27 hr 45 min,1 stop,"IDR 9,999,400"
"Garuda Indonesia, Jeju Air",2025-11-01,5:30 PM,1:00 PM +2 (2025-11-03),41 hr 30 min,2 stops,"IDR 10,011,100"
"Garuda Indonesia, Jeju Air",2025-11-01,5:30 PM,2:30 PM +2 (2025-11-03),43 hr,2 stops,"IDR 10,011,100"
"Garuda Indonesia, Asiana Airlines + Korean Air",2025-11-01,11:30 PM,5:55 PM +1 (2025-11-02),16 hr 25 min,1 stop,"IDR 10,024,900"
"Korean Air, JAL",2025-11-01,9:50 PM,2:10 PM +1 (2025-11-02),14 hr 20 min,1 stop,"IDR 10,190,600"
"Garuda Indonesia, JAL + Korean Air",2025-11-01,11:30 PM,2:10 PM +1 (2025-11-02),12 hr 40 min,1 stop,"IDR 10,190,600"
Asiana Airlines + ANA,2025-11-01,10:30 PM,11:25 PM +1 (2025-11-02),22 hr 55 min,1 stop,"IDR 10,232,900"
Asiana Airlines,2025-11-01,10:30 PM,9:00 PM +1 (2025-11-02),20 hr 30 min,1 stop,"IDR 10,244,900"
"Garuda Indonesia, ANA",2025-11-01,3:40 PM,6:25 PM +1 (2025-11-02),24 hr 45 min,1 stop,"IDR 10,443,200"
"Garuda Indonesia, ANA",2025-11-01,5:35 PM,6:25 PM +1 (2025-11-02),22 hr 50 min,1 stop,"IDR 10,443,200"
"Garuda Indonesia, ANA",2025-11-01,6:55 PM,6:25 PM +1 (2025-11-02),21 hr 30 min,1 stop,"IDR 10,443,200"
Asiana Airlines,2025-11-01,10:30 PM,5:50 PM +1 (2025-11-02),17 hr 20 min,1 stop,"IDR 10,457,600"
Asiana Airlines,2025-11-01,10:30 PM,9:45 PM +1 (2025-11-02),21 hr 15 min,1 stop,"IDR 10,457,600"
"Asiana Airlines, JAL",2025-11-01,10:30 PM,6:30 PM +1 (2025-11-02),18 hr,2 stops,"IDR 10,573,300"
"Asiana Airlines, ANA",2025-11-01,10:30 PM,6:45 PM +1 (2025-11-02),18 hr 15 min,2 stops,"IDR 10,573,300"
"China Eastern, ANA + Operated by Star Flyer",2025-11-01,11:45 PM,3:25 PM +1 (2025-11-02),13 hr 40 min,2 stops,"IDR 10,685,200"
"China Eastern, ANA + Operated by ANA Wings",2025-11-01,11:45 PM,5:05 PM +1 (2025-11-02),15 hr 20 min,2 stops,"IDR 10,685,200"
"China Eastern, ANA + Operated by ANA Wings",2025-11-01,11:45 PM,5:05 PM +1 (2025-11-02),15 hr 20 min,2 stops,"IDR 10,685,200"
"China Eastern, ANA + Operated by Star Flyer",2025-11-01,11:45 PM,6:55 PM +1 (2025-11-02),17 hr 10 min,2 stops,"IDR 10,685,200"
"China Eastern, ANA + Operated by Star Flyer",2025-11-01,11:45 PM,6:55 PM +1 (2025-11-02),17 hr 10 min,2 stops,"IDR 10,685,200"
"China Eastern, ANA + Operated by Star Flyer",2025-11-01,11:45 PM,6:55 PM +1 (2025-11-02),17 hr 10 min,2 stops,"IDR 10,685,200"
"China Eastern, ANA + Operated by Star Flyer",2025-11-01,11:45 PM,8:20 PM +1 (2025-11-02),18 hr 35 min,2 stops,"IDR 10,685,200"
"China Eastern, ANA + Operated by Star Flyer",2025-11-01,11:45 PM,8:20 PM +1 (2025-11-02),18 hr 35 min,2 stops,"IDR 10,685,200"
"China Eastern, ANA + Operated by Star Flyer",2025-11-01,11:45 PM,8:20 PM +1 (2025-11-02),18 hr 35 min,2 stops,"IDR 10,685,200"
"China Eastern, ANA + Operated by Star Flyer",2025-11-01,11:45 PM,8:20 PM +1 (2025-11-02),18 hr 35 min,2 stops,"IDR 10,685,200"
"Garuda Indonesia, ANA + Operated by Air Japan",2025-11-01,11:50 PM,3:10 PM +1 (2025-11-02),13 hr 20 min,1 stop,"IDR 10,924,300"
"Garuda Indonesia, Jeju Air",2025-11-01,11:30 PM,1:00 PM +1 (2025-11-02),11 hr 30 min,1 stop,"IDR 11,039,400"
Singapore Airlines + ANA,2025-11-01,5:25 AM,5:05 PM (2025-11-01),9 hr 40 min,1 stop,"IDR 11,099,200"
Singapore Airlines + ANA,2025-11-01,5:25 AM,9:40 PM (2025-11-01),14 hr 15 min,1 stop,"IDR 11,099,200"
Singapore Airlines,2025-11-01,8:40 AM,9:40 PM (2025-11-01),11 hr,1 stop,"IDR 11,099,200"
Singapore Airlines,2025-11-01,9:30 AM,9:40 PM (2025-11-01),10 hr 10 min,1 stop,"IDR 11,099,200"
Singapore Airlines,2025-11-01,2:15 PM,6:20 AM +1 (2025-11-02),14 hr 5 min,1 stop,"IDR 11,099,200"
Singapore Airlines,2025-11-01,5:00 PM,6:20 AM +1 (2025-11-02),11 hr 20 min,1 stop,"IDR 11,099,200"
Singapore Airlines,2025-11-01,6:10 PM,6:20 AM +1 (2025-11-02),10 hr 10 min,1 stop,"IDR 11,099,200"
Cathay Pacific + JAL,2025-11-01,12:15 AM,1:45 PM (2025-11-01),11 hr 30 min,1 stop,"IDR 11,190,500"
"Garuda Indonesia, ANA + Operated by Air Japan",2025-11-01,5:50 AM,5:55 AM +1 (2025-11-02),22 hr 5 min,1 stop,"IDR 11,366,200"
"Garuda Indonesia, ANA + Operated by Air Japan",2025-11-01,8:55 AM,5:55 AM +1 (2025-11-02),19 hr,1 stop,"IDR 11,366,200"
"Garuda Indonesia, ANA + Operated by Air Japan",2025-11-01,11:30 AM,5:55 AM +1 (2025-11-02),16 hr 25 min,1 stop,"IDR 11,366,200"
"Garuda Indonesia, ANA + Operated by Air Japan",2025-11-01,3:40 PM,5:55 AM +1 (2025-11-02),12 hr 15 min,1 stop,"IDR 11,366,200"
"Garuda Indonesia, ANA + Operated by Air Japan",2025-11-01,5:35 PM,5:55 AM +1 (2025-11-02),10 hr 20 min,1 stop,"IDR 11,366,200"
"Philippine Airlines, Jetstar",2025-11-01,1:20 AM,6:05 AM +1 (2025-11-02),26 hr 45 min,1 stop,"IDR 11,464,100"
China Southern,2025-11-01,9:05 AM,1:20 PM +1 (2025-11-02),26 hr 15 min,1 stop,"IDR 11,526,900"
China Southern,2025-11-01,9:05 AM,1:35 PM +1 (2025-11-02),26 hr 30 min,1 stop,"IDR 11,526,900"
"China Eastern, JAL",2025-11-01,11:45 PM,3:55 PM +1 (2025-11-02),14 hr 10 min,2 stops,"IDR 11,630,900"
